LotArea,Utilities,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,PoolArea,YrSold,MoSold,cluster
0.69186896,0.030187175,-0.7762911,0.3928678,-0.70586926,0.3232255,-0.68721527,2.4607472,0.88768494,0.26779857,0.27775478,-0.14725195,1.7267022,1.3397956,0.7842444,1.2352071,2.5923817,4.4639387,-0.7707665,2.8972583,0.23531511,-0.06304185,1.6782742,-1.1849605,0
-0.15495694,0.030187175,-0.06751409,0.3928678,0.18702972,-0.3480424,-0.68721527,2.4607472,-1.1998537,0.26779857,0.27775478,0.32235238,0.0762165,0.30518675,0.7842444,-0.7548488,1.3842534,4.4639387,-0.7707665,2.2615025,0.23531511,-0.06304185,-1.3598377,0.6570676,0
0.16839273,0.030187175,-0.7762911,-0.5068271,-0.4413066,-1.2590488,-0.68721527,-0.22963299,-1.1998537,0.26779857,0.27775478,1.5729291,-0.7828765,0.54652953,0.7842444,-0.7548488,1.3842534,4.4639387,-0.7707665,1.6257466,0.23531511,-0.06304185,0.9187462,0.288662,0
0.3949152,0.030187175,-0.7762911,0.3928678,-0.30902526,0.8027026,-0.68721527,-0.22963299,-1.1998537,0.26779857,0.27775478,1.4504236,-0.7828765,0.45157498,0.7842444,-0.7548488,3.8005097,4.4639387,-0.7707665,2.2615025,0.23531511,-0.06304185,1.6782742,-1.9217716,0
-0.040997744,0.030187175,-0.7762911,-0.5068271,-0.20981427,-0.9234149,-0.68721527,-0.22963299,-1.1998537,-3.7341502,0.27775478,1.287083,-0.7828765,0.32496896,0.7842444,-0.7548488,1.3842534,4.4639387,-0.7707665,0.98999065,0.23531511,-0.06304185,1.6782742,-0.4481493,0
-0.39188543,0.030187175,0.6412629,-0.5068271,0.84843636,0.6588595,-0.68721527,2.4607472,0.88768494,0.26779857,0.27775478,0.47037986,-0.7828765,-0.30806124,0.7842444,-0.7548488,-1.0320029,4.4639387,-0.7707665,0.98999065,0.23531511,-0.06304185,0.15921822,1.7622845,0
-0.1533072,0.030187175,0.6412629,-0.5068271,0.84843636,0.6588595,-0.68721527,2.4607472,0.88768494,0.26779857,0.27775478,0.47037986,-0.7828765,-0.30806124,0.7842444,-0.7548488,-1.0320029,4.4639387,-0.7707665,0.98999065,0.23531511,-0.06304185,0.15921822,1.7622845,0
-0.22272332,0.030187175,-0.7762911,-0.5068271,-0.40823627,0.9944934,-0.68721527,-0.22963299,0.88768494,0.26779857,0.27775478,1.4095885,-0.7828765,0.41992348,0.7842444,-0.7548488,1.3842534,4.4639387,-0.7707665,0.98999065,0.23531511,-0.06304185,-1.3598377,-0.07974365,0
0.4380623,0.030187175,-0.7762911,-0.5068271,-2.3593857,-1.6426306,-0.68721527,-0.22963299,-1.1998537,-3.7341502,0.27775478,0.66945124,1.3531835,1.6563107,0.7842444,-0.7548488,2.5923817,4.4639387,-0.7707665,2.2615025,-2.7810435,-0.06304185,-0.6003097,1.0254732,0
-0.145693,0.030187175,-0.7762911,-0.5068271,0.08781872,-0.4918855,-0.68721527,-0.22963299,-1.1998537,0.26779857,0.27775478,-0.6730046,1.3088282,0.578181,0.7842444,3.225263,1.3842534,4.4639387,-0.7707665,0.98999065,0.23531511,-0.06304185,0.15921822,-0.07974365,0
0.18425566,0.030187175,-0.7762911,-0.5068271,-0.37516594,-1.1631534,-0.68721527,-0.22963299,-1.1998537,0.26779857,-2.2967508,-0.13959534,1.9461445,1.5316828,0.7842444,-0.7548488,2.5923817,4.4639387,-0.7707665,3.5330143,0.23531511,-0.06304185,1.6782742,-1.9217716,0
0.082733,0.030187175,-0.7762911,-1.406522,-2.3593857,-0.6836763,-0.68721527,-2.9200132,-1.1998537,-3.7341502,-2.2967508,1.5474072,0.72987425,1.8086336,0.7842444,-0.7548488,0.1761252,4.4639387,-0.7707665,2.2615025,-4.289223,-0.06304185,-1.3598377,-0.4481493,0
-0.23871313,0.030187175,-0.7762911,-0.5068271,-0.4413066,-1.2590488,-0.68721527,-0.22963299,-1.1998537,0.26779857,0.27775478,1.1339512,-0.7828765,0.2062758,0.7842444,-0.7548488,1.3842534,4.4639387,-0.7707665,0.98999065,0.23531511,-0.06304185,1.6782742,-1.1849605,0
1.109381,0.030187175,-0.7762911,-0.5068271,0.18702972,-0.3480424,-0.68721527,-0.22963299,0.88768494,0.26779857,0.27775478,0.51376724,2.1562488,2.2161467,0.7842444,3.225263,1.3842534,4.4639387,-0.7707665,3.5330143,0.23531511,-0.06304185,-0.6003097,0.6570676,0
0.082733,0.030187175,-0.06751409,0.3928678,-1.0365726,-1.6426306,-0.68721527,-0.22963299,-1.1998537,0.26779857,0.27775478,-0.703631,0.505763,-0.12606505,0.7842444,-0.7548488,0.1761252,4.4639387,-0.7707665,0.98999065,0.23531511,-0.06304185,0.15921822,-0.4481493,0
